Rank,Country,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Quality of Life Index,Safety Index,Health Care Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
102,Turkey,47.91436464,16.96272204,44.38478747,36.7284889,39.00506063,73.89964533,108.3049937,92.16954972,91.99057715,110.2196988,258.9388697,98.8971368
118,Uganda,41.68508287,25.39404553,37.65846383,33.6576467,19.57414303,,,,,,,
107,Ukraine,45.82872928,26.16962722,38.79194631,40.16418364,30.36379261,60.91633234,91.55181672,69.10075267,144.0518257,95.4085411,250.2114571,75.73700954
32,United Arab Emirates,85.60773481,102.752064,71.0365399,93.21982365,87.44390337,91.09250538,150.8859853,88.52502311,62.30859835,90.96519378,196.6551326,47.96394486
27,United Kingdom,92.9281768,74.68101076,76.46532438,112.6938279,87.58712881,94.60433746,100.7517451,98.32298957,118.8457008,85.23821279,155.9400231,92.91622481
20,United States,98.13535912,100.8756567,99.3437733,107.5402858,104.5736656,100.0697715,94.50510113,91.46969497,41.46054181,81.18982967,141.7916186,82.22693531
49,Uruguay,70.49723757,36.10207656,59.83594333,72.0735786,35.76816576,73.24844468,82.67406479,87.52145781,192.4617197,98.4695137,172.3952326,103.9660657
128,Uzbekistan,35.92541436,18.86414811,32.19985086,30.66281545,23.21206913,,,,,,,
125,Venezuela,37.52762431,17.03777833,42.19239374,37.10854363,2.492122601,,,,,,,
89,Vietnam,52.9558011,33.95046285,55.27218494,29.78108848,26.86909195,50.86342229,97.81635941,76.19173379,251.590106,74.47543816,332.4490581,75.54612937
111,Zambia,43.8121547,18.48886665,40.05965697,33.55123138,51.69483434,,,,,,,
39,Zimbabwe,76.38121547,27.57067801,75.76435496,62.0097294,24.85438747,,,,,,,
